epoch_ms	gpu_used_mib	gpu_util_pct	host_used_mib	host_delta_mib
1786983594586	1	0	44298	37
1786983594924	1	0	44314	53
1786983595259	1	0	44308	47
1786983595576	1	0	44349	88
1786983595892	1	0	44374	113
1786983596207	1	0	44575	314
1786983596563	1	0	44465	204
1786983596917	1	0	44506	245
1786983597275	1	0	44508	247
1786983597611	1	0	44508	247
1786983597909	1	0	44523	262
1786983598243	1	0	44601	340
1786983598560	1	0	44459	198
1786983598907	1	0	44511	250
1786983599205	2	0	44582	321
1786983599560	4	0	44625	364
1786983599897	4	0	44763	502
1786983600245	4	0	45015	754
1786983600564	4	0	45178	917
1786983600881	4	0	45450	1189
1786983601217	4	0	45638	1377
1786983601572	4	0	45839	1578
1786983601889	4	0	45932	1671
1786983602244	4	0	45993	1732
1786983602600	4	0	46152	1891
1786983602918	4	0	46521	2260
1786983603256	4	0	46675	2414
1786983603612	4	0	46948	2687
1786983603966	4	0	47165	2904
1786983604322	4	0	47384	3123
1786983604662	4	0	47525	3264
1786983604981	4	0	47797	3536
1786983605352	4	0	47937	3676
1786983605705	4	0	48182	3921
1786983606004	4	0	48360	4099
1786983606339	4	0	48500	4239
1786983606675	4	0	48722	4461
1786983607010	4	0	49019	4758
1786983607330	4	0	49195	4934
1786983607676	4	0	49312	5051
1786983607990	4	0	49548	5287
1786983608330	4	0	49817	5556
1786983608685	4	0	49986	5725
1786983609001	4	0	50168	5907
1786983609334	4	0	50418	6157
1786983609670	4	0	50581	6320
1786983610011	4	0	50781	6520
1786983610339	4	0	50961	6700
1786983610656	4	0	51165	6904
1786983610974	4	0	51580	7319
1786983611313	4	0	51568	7307
1786983611656	4	0	52136	7875
1786983611973	4	0	52001	7740
1786983612290	4	0	52392	8131
1786983612608	4	0	52467	8206
1786983612942	4	0	52678	8417
1786983613260	4	0	52869	8608
1786983613613	4	0	52990	8729
1786983613946	4	0	53207	8946
1786983614264	4	0	53403	9142
1786983614582	4	0	53699	9438
1786983614970	4	0	53953	9692
1786983615311	4	0	54118	9857
1786983615629	4	0	54279	10018
1786983615965	4	0	54485	10224
1786983616317	4	0	54701	10440
1786983616653	4	0	55046	10785
1786983616988	4	0	55008	10747
1786983617327	4	0	55157	10896
1786983617664	4	0	55501	11240
1786983618032	4	0	55692	11431
1786983618389	4	0	56036	11775
1786983618722	4	0	56147	11886
1786983619078	4	0	56442	12181
1786983619416	4	0	56578	12317
1786983619770	4	0	56789	12528
1786983620106	4	0	56945	12684
1786983620449	4	0	57247	12986
1786983620818	4	0	57394	13133
1786983621135	4	0	57663	13402
1786983621470	4	0	57851	13590
1786983621809	4	0	58112	13851
1786983622163	4	0	58363	14102
1786983622480	4	0	58497	14236
1786983622779	4	0	58658	14397
1786983623097	4	0	58805	14544
1786983623436	4	0	59017	14756
1786983623790	4	0	59326	15065
1786983624126	4	0	59479	15218
1786983624482	4	0	59660	15399
1786983624821	4	0	59725	15464
1786983625154	4	0	59842	15581
1786983625511	4	0	59984	15723
1786983625828	4	0	60089	15828
1786983626175	4	0	60206	15945
1786983626512	4	0	60342	16081
1786983626831	4	0	60445	16184
1786983627148	4	0	61038	16777
1786983627506	4	0	60919	16658
1786983627861	4	0	61470	17209
1786983628219	4	0	62095	17834
1786983628537	4	0	62592	18331
1786983628872	4	0	63447	19186
1786983629206	4	0	63815	19554
1786983629535	4	0	64396	20135
1786983629857	4	0	64911	20650
1786983630210	4	0	65646	21385
1786983630548	4	0	66076	21815
1786983630903	4	0	66681	22420
1786983631221	4	0	67262	23001
1786983631553	4	0	67846	23585
1786983631890	4	0	68412	24151
1786983632246	4	0	68910	24649
1786983632566	4	0	69086	24825
1786983633036	4	0	69117	24856
1786983633719	4	0	69157	24896
1786983634565	4	0	69156	24895
1786983635134	4	0	69143	24882
1786983635719	4	0	69185	24924
1786983636432	4	0	69206	24945
1786983637032	4	0	69077	24816
1786983637623	4	0	69173	24912
1786983638227	4	0	69413	25152
1786983638839	4	0	69271	25010
1786983639464	4	0	69223	24962
1786983640032	4	0	69494	25233
1786983640632	4	0	69131	24870
1786983641266	4	0	69175	24914
1786983641923	4	0	69149	24888
1786983642526	4	0	69152	24891
1786983643167	4	0	69332	25071
1786983643723	4	0	69195	24934
1786983644264	4	0	69121	24860
1786983644966	4	0	69190	24929
1786983645675	4	0	69176	24915
1786983646420	4	0	69171	24910
1786983647117	4	0	69117	24856
1786983647867	4	0	69201	24940
1786983648364	4	0	69237	24976
1786983649066	4	0	69248	24987
1786983649532	4	0	69172	24911
1786983650126	4	0	69091	24830
1786983650833	4	0	69072	24811
1786983651427	4	0	69205	24944
1786983652266	4	0	69194	24933
1786983652826	4	0	69219	24958
1786983653565	4	0	69216	24955
1786983654120	4	0	69145	24884
1786983654767	4	0	69217	24956
1786983655566	4	0	69432	25171
1786983656166	4	0	69317	25056
1786983656567	4	0	68496	24235
1786983657132	4	0	68448	24187
1786983657866	4	0	68153	23892
1786983658466	4	0	68077	23816
1786983659031	4	0	68167	23906
1786983659766	4	0	68036	23775
1786983660427	4	0	67949	23688
1786983661126	4	0	67879	23618
1786983661726	4	0	67831	23570
1786983662464	4	0	67651	23390
1786983663064	4	0	67483	23222
1786983663630	4	0	67466	23205
1786983664266	4	0	67391	23130
1786983664866	4	0	67281	23020
1786983665564	4	0	67231	22970
1786983666066	4	0	67023	22762
1786983666627	4	0	66848	22587
1786983667132	4	0	66772	22511
1786983667766	4	0	66754	22493
1786983668532	4	0	66666	22405
1786983669166	4	0	66525	22264
1786983669866	4	0	66439	22178
1786983670430	4	0	66232	21971
1786983671265	4	0	66164	21903
1786983671966	4	0	66252	21991
1786983672666	4	0	66011	21750
1786983673265	4	0	65790	21529
1786983674066	4	0	65723	21462
1786983674631	4	0	65532	21271
1786983675229	4	0	65516	21255
1786983675826	4	0	65452	21191
1786983676565	4	0	65374	21113
1786983677123	4	0	65221	20960
1786983677726	4	0	65095	20834
1786983678428	4	0	65222	20961
1786983679166	4	0	64929	20668
1786983679734	4	0	64794	20533
1786983680566	4	0	64597	20336
1786983681132	4	0	64530	20269
1786983681732	4	0	64559	20298
1786983682466	4	0	64585	20324
1786983683131	4	0	64536	20275
1786983683719	4	0	64053	19792
1786983684336	19	0	59303	15042
1786983684687	852	18	59281	15020
1786983685005	1226	16	58611	14350
1786983685316	1810	16	58161	13900
1786983685664	2430	15	57820	13559
1786983686002	2990	15	57457	13196
1786983686322	3586	15	57158	12897
1786983686641	4170	14	56754	12493
1786983686984	4698	15	56540	12279
1786983687282	5306	15	56170	11909
1786983687640	5878	14	55635	11374
1786983687996	6510	14	55246	10985
1786983688349	7058	14	54978	10717
1786983688668	7646	12	54677	10416
1786983689054	8288	15	54681	10420
1786983689374	8544	5	54730	10469
1786983689693	8598	18	54683	10422
1786983690029	8602	28	54725	10464
1786983690369	8674	19	54640	10379
1786983690685	8674	0	54653	10392
1786983691006	8674	0	50971	6710
1786983691396	8674	0	44777	516
